Año,Trimestre,Provincia,Accesos por cada 100 hogares (Provincia),Accesos por cada 100 hab (Provincia),Accesos por cada 100 hogares (Total),Accesos por cada 100 hab (Total)
2023,3,Salta,57.57,13.94,77.84,24.41
2023,3,San Juan,50.45,12.85,77.84,24.41
2023,3,San Luis,98.55,28.2,77.84,24.41
2023,3,Santa Cruz,40.89,12.17,77.84,24.41
2023,3,Santa Fe,79.09,24.87,77.84,24.41
2023,3,Santiago Del Estero,48.67,12.08,77.84,24.41
2023,3,Tierra Del Fuego,105.95,31.41,77.84,24.41
2023,3,Tucumán,61.26,15.17,77.84,24.41
2023,2,Buenos Aires,79.67,27.1,77.02,24.14
2023,2,Capital Federal,115.48,47.27,77.02,24.14
2023,2,Catamarca,67.42,17.15,77.02,24.14
2023,2,Chaco,42.87,11.46,77.02,24.14
2023,2,Chubut,82.49,25.28,77.02,24.14
2023,2,Córdoba,90.13,27.59,77.02,24.14
2023,2,Corrientes,52.37,13.79,77.02,24.14
2023,2,Entre Ríos,64.43,19.26,77.02,24.14
2023,2,Formosa,38.32,9.75,77.02,24.14
2023,2,Jujuy,57.78,14.78,77.02,24.14
2023,2,La Pampa,98.35,32.4,77.02,24.14
2023,2,La Rioja,80.01,21.3,77.02,24.14
2023,2,Mendoza,52.09,14.54,77.02,24.14
2023,2,Misiones,55.18,15.03,77.02,24.14
2023,2,Neuquén,78.97,23.5,77.02,24.14
2023,2,Río Negro,68.56,21.09,77.02,24.14
2023,2,Salta,57.48,13.92,77.02,24.14
2023,2,San Juan,47.52,12.1,77.02,24.14
2023,2,San Luis,93.41,26.73,77.02,24.14
2023,2,Santa Cruz,41.66,12.39,77.02,24.14
2023,2,Santa Fe,78.83,24.79,77.02,24.14
2023,2,Santiago Del Estero,47.14,11.7,77.02,24.14
2023,2,Tierra Del Fuego,106.38,31.54,77.02,24.14
2023,2,Tucumán,60.75,15.05,77.02,24.14
2023,1,Buenos Aires,79.0,26.81,77.2,24.17
2023,1,Capital Federal,122.59,50.23,77.2,24.17
2023,1,Catamarca,66.17,16.83,77.2,24.17
2023,1,Chaco,43.15,11.53,77.2,24.17
2023,1,Chubut,85.89,26.32,77.2,24.17
2023,1,Córdoba,88.84,27.2,77.2,24.17
2023,1,Corrientes,52.05,13.71,77.2,24.17
2023,1,Entre Ríos,64.79,19.37,77.2,24.17
2023,1,Formosa,38.79,9.87,77.2,24.17
2023,1,Jujuy,58.2,14.88,77.2,24.17
2023,1,La Pampa,96.55,31.81,77.2,24.17
2023,1,La Rioja,79.74,21.23,77.2,24.17
2023,1,Mendoza,51.4,14.34,77.2,24.17
2023,1,Misiones,53.97,14.7,77.2,24.17
2023,1,Neuquén,78.55,23.38,77.2,24.17
2023,1,Río Negro,69.16,21.27,77.2,24.17
2023,1,Salta,57.67,13.97,77.2,24.17
2023,1,San Juan,49.75,12.67,77.2,24.17
2023,1,San Luis,90.17,25.8,77.2,24.17
2023,1,Santa Cruz,43.42,12.92,77.2,24.17
2023,1,Santa Fe,78.13,24.57,77.2,24.17
2023,1,Santiago Del Estero,47.55,11.8,77.2,24.17
2023,1,Tierra Del Fuego,104.23,30.9,77.2,24.17
2023,1,Tucumán,60.34,14.95,77.2,24.17
2022,4,Buenos Aires,78.94,26.72,77.21,24.15
2022,4,Capital Federal,122.73,50.35,77.21,24.15
2022,4,Catamarca,65.77,16.73,77.21,24.15
2022,4,Chaco,43.62,11.66,77.21,24.15
2022,4,Chubut,85.57,26.23,77.21,24.15
2022,4,Córdoba,89.03,27.26,77.21,24.15
2022,4,Corrientes,51.64,13.6,77.21,24.15
2022,4,Entre Ríos,64.01,19.14,77.21,24.15
2022,4,Formosa,39.41,10.03,77.21,24.15
2022,4,Jujuy,58.46,14.95,77.21,24.15
2022,4,La Pampa,94.8,31.23,77.21,24.15
2022,4,La Rioja,79.86,21.26,77.21,24.15
2022,4,Mendoza,51.36,14.33,77.21,24.15
2022,4,Misiones,52.85,14.39,77.21,24.15
2022,4,Neuquén,78.67,23.41,77.21,24.15
2022,4,Río Negro,68.42,21.04,77.21,24.15
2022,4,Salta,57.96,14.04,77.21,24.15
2022,4,San Juan,50.88,12.96,77.21,24.15
2022,4,San Luis,90.27,25.83,77.21,24.15
2022,4,Santa Cruz,43.53,12.95,77.21,24.15
2022,4,Santa Fe,78.4,24.65,77.21,24.15
2022,4,Santiago Del Estero,48.05,11.92,77.21,24.15
2022,4,Tierra Del Fuego,101.44,30.07,77.21,24.15
2022,4,Tucumán,61.04,15.12,77.21,24.15
2022,3,Buenos Aires,78.11,26.37,76.64,23.95
2022,3,Capital Federal,122.28,50.22,76.64,23.95
2022,3,Catamarca,65.33,16.62,76.64,23.95
2022,3,Chaco,43.86,11.72,76.64,23.95
2022,3,Chubut,84.38,25.86,76.64,23.95
2022,3,Córdoba,88.31,27.04,76.64,23.95
2022,3,Corrientes,48.21,12.69,76.64,23.95
2022,3,Entre Ríos,63.67,19.04,76.64,23.95
2022,3,Formosa,43.76,11.14,76.64,23.95
2022,3,Jujuy,58.91,15.06,76.64,23.95
2022,3,La Pampa,96.59,31.82,76.64,23.95
2022,3,La Rioja,80.66,21.47,76.64,23.95
2022,3,Mendoza,51.03,14.24,76.64,23.95
2022,3,Misiones,51.82,14.11,76.64,23.95
2022,3,Neuquén,80.37,23.92,76.64,23.95
2022,3,Río Negro,67.98,20.91,76.64,23.95
2022,3,Salta,57.76,13.99,76.64,23.95
2022,3,San Juan,50.8,12.94,76.64,23.95
2022,3,San Luis,81.74,23.39,76.64,23.95
2022,3,Santa Cruz,43.19,12.85,76.64,23.95
2022,3,Santa Fe,78.55,24.7,76.64,23.95
2022,3,Santiago Del Estero,47.98,11.91,76.64,23.95
2022,3,Tierra Del Fuego,99.51,29.5,76.64,23.95
2022,3,Tucumán,61.14,15.14,76.64,23.95
2022,2,Buenos Aires,77.58,26.1292712783274,75.9654243719137,23.7204423164287
2022,2,Capital Federal,121.31,49.8735612562611,75.9654243719137,23.7204423164287
2022,2,Catamarca,62.4,15.8717901952471,75.9654243719137,23.7204423164287
2022,2,Chaco,43.79,11.7025439036955,75.9654243719137,23.7204423164287
2022,2,Chubut,83.19,25.4999193362706,75.9654243719137,23.7204423164287
2022,2,Córdoba,87.48,26.7815908411335,75.9654243719137,23.7204423164287
2022,2,Corrientes,48.35,12.7321469653836,75.9654243719137,23.7204423164287
2022,2,Entre Ríos,63.9,19.1046859506594,75.9654243719137,23.7204423164287
2022,2,Formosa,43.42,11.0498145911401,75.9654243719137,23.7204423164287
2022,2,Jujuy,57.32,14.6569135245407,75.9654243719137,23.7204423164287
2022,2,La Pampa,92.98,30.6327215596658,75.9654243719137,23.7204423164287
